timestamp,endereco_mac,cpu,ram,disco,quantidade_processos,bateria,temp_cpu,temp_bateria,velocidade_estimada_kmh,consumo_energia
28-11-2025 14:27:16,ec:91:61:8a:27:c9,56.3,92.7,29.2,296,100.0,75.0,N/A,129.11,6.916
28-11-2025 14:27:22,ec:91:61:8a:27:c9,20.1,91.5,29.2,297,100.0,63.0,N/A,76.02,3.5817
28-11-2025 14:27:28,ec:91:61:8a:27:c9,47.9,87.7,29.2,299,100.0,65.0,N/A,120.36,5.7899
28-11-2025 14:27:34,ec:91:61:8a:27:c9,21.2,87.6,29.2,296,100.0,61.0,N/A,74.51,3.3478
28-11-2025 14:27:40,ec:91:61:8a:27:c9,18.9,87.2,29.2,296,100.0,58.0,N/A,67.26,3.0519
28-11-2025 14:27:47,ec:91:61:8a:27:c9,22.6,87.9,29.2,296,100.0,56.0,N/A,76.52,3.5194
28-11-2025 14:27:53,ec:91:61:8a:27:c9,19.1,88.2,29.2,299,100.0,55.0,N/A,76.15,2.5385
28-11-2025 14:27:59,ec:91:61:8a:27:c9,19.4,87.8,29.2,297,100.0,54.0,N/A,72.04,3.8468
28-11-2025 14:28:05,ec:91:61:8a:27:c9,17.6,87.8,29.2,297,100.0,51.0,N/A,74.53,3.5617
28-11-2025 14:28:11,ec:91:61:8a:27:c9,18.0,87.8,29.2,297,100.0,51.0,N/A,78.32,3.6256
28-11-2025 14:28:18,ec:91:61:8a:27:c9,23.1,87.7,29.2,297,100.0,51.0,N/A,70.43,4.1198
28-11-2025 14:28:24,ec:91:61:8a:27:c9,35.8,88.1,29.2,299,100.0,51.0,N/A,102.16,5.2843
28-11-2025 14:28:30,ec:91:61:8a:27:c9,37.7,89.2,29.2,296,100.0,55.0,N/A,104.35,5.0961
28-11-2025 14:28:36,ec:91:61:8a:27:c9,16.9,89.2,29.2,296,100.0,50.0,N/A,62.7,2.4216
28-11-2025 14:28:42,ec:91:61:8a:27:c9,16.1,88.5,29.2,296,100.0,50.0,N/A,69.88,2.9428
28-11-2025 14:28:48,ec:91:61:8a:27:c9,17.8,86.4,29.2,299,100.0,49.0,N/A,79.01,2.4061
28-11-2025 14:28:55,ec:91:61:8a:27:c9,15.5,84.5,29.2,296,100.0,49.0,N/A,63.53,3.1295
28-11-2025 14:29:01,ec:91:61:8a:27:c9,21.7,80.3,29.2,295,100.0,49.0,N/A,77.27,3.594
28-11-2025 14:29:07,ec:91:61:8a:27:c9,36.2,79.8,29.2,295,100.0,54.0,N/A,108.26,4.3875
28-11-2025 14:29:13,ec:91:61:8a:27:c9,41.3,80.0,29.2,298,100.0,50.0,N/A,116.1,5.0382
